"Longitude","Latitude","Region"
78.75,76.0702438354492,"Asia_1"
97.5,76.0702438354492,"Asia_1"
97.5,72.3615798950195,"Asia_1"
101.25,72.3615798950195,"Asia_1"
116.25,72.3615798950195,"Asia_1"
123.75,72.3615798950195,"Asia_1"
127.5,72.3615798950195,"Asia_1"
131.25,72.3615798950195,"Asia_1"
135,72.3615798950195,"Asia_1"
146.25,72.3615798950195,"Asia_1"
157.5,72.3615798950195,"Asia_1"
180,72.3615798950195,"Asia_1"
48.75,68.6520156860352,"Asia_1"
63.75,68.6520156860352,"Asia_1"
67.5,68.6520156860352,"Asia_1"
71.25,68.6520156860352,"Asia_2"
86.25,68.6520156860352,"Asia_1"
90,68.6520156860352,"Asia_1"
135,68.6520156860352,"Asia_1"
138.75,68.6520156860352,"Asia_1"
157.5,68.6520156860352,"Asia_1"
161.25,68.6520156860352,"Asia_1"
165,68.6520156860352,"Asia_1"
168.75,68.6520156860352,"Asia_1"
172.5,68.6520156860352,"Asia_1"
180,68.6520156860352,"Asia_1"
48.75,64.9419479370117,"Asia_1"
60,64.9419479370117,"Asia_1"
78.75,64.9419479370117,"Asia_2"
116.25,64.9419479370117,"Asia_2"
120,64.9419479370117,"Asia_2"
123.75,64.9419479370117,"Asia_2"
127.5,64.9419479370117,"Asia_2"
135,64.9419479370117,"Asia_1"
142.5,64.9419479370117,"Asia_1"
146.25,64.9419479370117,"Asia_1"
172.5,64.9419479370117,"Asia_1"
176.25,64.9419479370117,"Asia_1"
45,61.231575012207,"Asia_2"
56.25,61.231575012207,"Asia_2"
60,61.231575012207,"Asia_2"
67.5,61.231575012207,"Asia_2"
71.25,61.231575012207,"Asia_2"
75,61.231575012207,"Asia_2"
78.75,61.231575012207,"Asia_2"
112.5,61.231575012207,"Asia_2"
116.25,61.231575012207,"Asia_2"
131.25,61.231575012207,"Asia_2"
146.25,61.231575012207,"Asia_1"
150,61.231575012207,"Asia_1"
153.75,61.231575012207,"Asia_1"
165,61.231575012207,"Asia_1"
56.25,57.5209922790527,"Asia_2"
60,57.5209922790527,"Asia_2"
67.5,57.5209922790527,"Asia_2"
78.75,57.5209922790527,"Asia_2"
82.5,57.5209922790527,"Asia_2"
86.25,57.5209922790527,"Asia_2"
90,57.5209922790527,"Asia_2"
108.75,57.5209922790527,"Asia_2"
123.75,57.5209922790527,"Asia_2"
131.25,57.5209922790527,"Asia_2"
161.25,57.5209922790527,"Asia_1"
52.5,53.8102722167969,"Asia_2"
60,53.8102722167969,"Asia_2"
63.75,53.8102722167969,"Asia_2"
71.25,53.8102722167969,"Asia_2"
78.75,53.8102722167969,"Asia_2"
82.5,53.8102722167969,"Asia_2"
105,53.8102722167969,"Asia_2"
108.75,53.8102722167969,"Asia_2"
112.5,53.8102722167969,"Asia_2"
123.75,53.8102722167969,"Asia_2"
135,53.8102722167969,"Asia_3"
138.75,53.8102722167969,"Asia_3"
157.5,53.8102722167969,"Asia_1"
60,50.0994529724121,"Asia_2"
75,50.0994529724121,"Asia_2"
78.75,50.0994529724121,"Asia_2"
86.25,50.0994529724121,"Asia_2"
90,50.0994529724121,"Asia_2"
101.25,50.0994529724121,"Asia_2"
105,50.0994529724121,"Asia_2"
108.75,50.0994529724121,"Asia_2"
116.25,50.0994529724121,"Asia_3"
120,50.0994529724121,"Asia_3"
131.25,50.0994529724121,"Asia_3"
135,50.0994529724121,"Asia_3"
138.75,50.0994529724121,"Asia_3"
142.5,50.0994529724121,"Asia_3"
153.75,50.0994529724121,"Asia_1"
45,46.388557434082,"Europe_1"
82.5,46.388557434082,"Asia_4"
86.25,46.388557434082,"Asia_2"
90,46.388557434082,"Asia_2"
97.5,46.388557434082,"Asia_3"
101.25,46.388557434082,"Asia_3"
123.75,46.388557434082,"Asia_3"
127.5,46.388557434082,"Asia_3"
131.25,46.388557434082,"Asia_3"
135,46.388557434082,"Asia_3"
138.75,46.388557434082,"Asia_3"
142.5,46.388557434082,"Asia_3"
48.75,42.677604675293,"Europe_1"
52.5,42.677604675293,"Europe_2"
60,42.677604675293,"Asia_2"
71.25,42.677604675293,"Asia_2"
75,42.677604675293,"Asia_2"
78.75,42.677604675293,"Asia_4"
82.5,42.677604675293,"Asia_4"
86.25,42.677604675293,"Asia_4"
90,42.677604675293,"Asia_2"
93.75,42.677604675293,"Asia_3"
101.25,42.677604675293,"Asia_3"
105,42.677604675293,"Asia_3"
112.5,42.677604675293,"Asia_3"
116.25,42.677604675293,"Asia_3"
120,42.677604675293,"Asia_3"
123.75,42.677604675293,"Asia_3"
127.5,42.677604675293,"Asia_3"
131.25,42.677604675293,"Asia_3"
135,42.677604675293,"Asia_3"
142.5,42.677604675293,"Asia_3"
146.25,42.677604675293,"Asia_3"
45,38.966609954834,"Europe_2"
48.75,38.966609954834,"Europe_2"
52.5,38.966609954834,"Europe_2"
75,38.966609954834,"Asia_4"
78.75,38.966609954834,"Asia_4"
82.5,38.966609954834,"Asia_4"
90,38.966609954834,"Asia_2"
93.75,38.966609954834,"Asia_4"
97.5,38.966609954834,"Asia_3"
101.25,38.966609954834,"Asia_3"
105,38.966609954834,"Asia_3"
108.75,38.966609954834,"Asia_3"
112.5,38.966609954834,"Asia_3"
116.25,38.966609954834,"Asia_3"
120,38.966609954834,"Asia_3"
123.75,38.966609954834,"Asia_3"
142.5,38.966609954834,"Asia_3"
45,35.2555809020996,"Europe_2"
52.5,35.2555809020996,"Europe_2"
78.75,35.2555809020996,"Asia_4"
82.5,35.2555809020996,"Asia_4"
86.25,35.2555809020996,"Asia_4"
90,35.2555809020996,"Asia_4"
93.75,35.2555809020996,"Asia_4"
97.5,35.2555809020996,"Asia_4"
101.25,35.2555809020996,"Asia_4"
105,35.2555809020996,"Asia_3"
108.75,35.2555809020996,"Asia_3"
112.5,35.2555809020996,"Asia_3"
116.25,35.2555809020996,"Asia_3"
120,35.2555809020996,"Asia_3"
123.75,35.2555809020996,"Asia_3"
131.25,35.2555809020996,"Asia_3"
135,35.2555809020996,"Asia_3"
138.75,35.2555809020996,"Asia_3"
142.5,35.2555809020996,"Asia_3"
78.75,31.5445232391357,"Asia_4"
82.5,31.5445232391357,"Asia_4"
86.25,31.5445232391357,"Asia_4"
90,31.5445232391357,"Asia_4"
93.75,31.5445232391357,"Asia_3"
97.5,31.5445232391357,"Asia_3"
101.25,31.5445232391357,"Asia_3"
105,31.5445232391357,"Asia_3"
108.75,31.5445232391357,"Asia_3"
112.5,31.5445232391357,"Asia_3"
116.25,31.5445232391357,"Asia_3"
120,31.5445232391357,"Asia_3"
123.75,31.5445232391357,"Asia_3"
52.5,27.8334445953369,"Europe_2"
86.25,27.8334445953369,"Asia_4"
90,27.8334445953369,"Asia_3"
101.25,27.8334445953369,"Asia_3"
105,27.8334445953369,"Asia_3"
108.75,27.8334445953369,"Asia_3"
116.25,27.8334445953369,"Asia_3"
120,27.8334445953369,"Asia_3"
127.5,27.8334445953369,"Asia_3"
97.5,24.1223487854004,"Asia_3"
101.25,24.1223487854004,"Asia_3"
108.75,24.1223487854004,"Asia_3"
112.5,24.1223487854004,"Asia_3"
116.25,24.1223487854004,"Asia_3"
120,24.1223487854004,"Asia_3"
101.25,20.4112377166748,"Asia_3"
108.75,20.4112377166748,"Asia_3"
112.5,20.4112377166748,"Asia_3"
116.25,20.4112377166748,"Asia_3"
108.75,16.7001171112061,"Asia_3"
11.25,79.7770462036133,"Europe_1"
15,79.7770462036133,"Europe_1"
18.75,79.7770462036133,"Europe_1"
22.5,79.7770462036133,"Europe_1"
15,76.0702438354492,"Europe_1"
22.5,76.0702438354492,"Europe_1"
26.25,72.3615798950195,"Europe_1"
30,72.3615798950195,"Europe_1"
15,68.6520156860352,"Europe_1"
18.75,68.6520156860352,"Europe_1"
22.5,68.6520156860352,"Europe_1"
26.25,68.6520156860352,"Europe_1"
30,68.6520156860352,"Europe_1"
33.75,68.6520156860352,"Europe_1"
37.5,68.6520156860352,"Europe_1"
7.5,64.9419479370117,"Europe_1"
11.25,64.9419479370117,"Europe_1"
15,64.9419479370117,"Europe_1"
18.75,64.9419479370117,"Europe_1"
22.5,64.9419479370117,"Europe_1"
26.25,64.9419479370117,"Europe_1"
30,64.9419479370117,"Europe_1"
33.75,64.9419479370117,"Europe_1"
37.5,64.9419479370117,"Europe_1"
-22.5,64.9419479370117,"Europe_1"
-18.75,64.9419479370117,"Europe_1"
3.75,61.231575012207,"Europe_1"
7.5,61.231575012207,"Europe_1"
11.25,61.231575012207,"Europe_1"
15,61.231575012207,"Europe_1"
18.75,61.231575012207,"Europe_1"
22.5,61.231575012207,"Europe_1"
26.25,61.231575012207,"Europe_1"
30,61.231575012207,"Europe_1"
33.75,61.231575012207,"Europe_1"
3.75,57.5209922790527,"Europe_1"
7.5,57.5209922790527,"Europe_1"
11.25,57.5209922790527,"Europe_1"
15,57.5209922790527,"Europe_1"
22.5,57.5209922790527,"Europe_1"
26.25,57.5209922790527,"Europe_1"
30,57.5209922790527,"Europe_1"
33.75,57.5209922790527,"Europe_1"
37.5,57.5209922790527,"Europe_1"
41.25,57.5209922790527,"Europe_1"
-7.5,57.5209922790527,"Europe_1"
-3.75,57.5209922790527,"Europe_1"
0,53.8102722167969,"Europe_1"
3.75,53.8102722167969,"Europe_1"
7.5,53.8102722167969,"Europe_1"
11.25,53.8102722167969,"Europe_1"
15,53.8102722167969,"Europe_1"
18.75,53.8102722167969,"Europe_1"
22.5,53.8102722167969,"Europe_1"
26.25,53.8102722167969,"Europe_1"
37.5,53.8102722167969,"Europe_1"
41.25,53.8102722167969,"Europe_1"
-11.25,53.8102722167969,"Europe_1"
-7.5,53.8102722167969,"Europe_1"
-3.75,53.8102722167969,"Europe_1"
0,50.0994529724121,"Europe_1"
3.75,50.0994529724121,"Europe_1"
7.5,50.0994529724121,"Europe_1"
11.25,50.0994529724121,"Europe_1"
15,50.0994529724121,"Europe_1"
18.75,50.0994529724121,"Europe_1"
22.5,50.0994529724121,"Europe_1"
26.25,50.0994529724121,"Europe_1"
30,50.0994529724121,"Europe_1"
-11.25,50.0994529724121,"Europe_1"
-3.75,50.0994529724121,"Europe_1"
0,46.388557434082,"Europe_1"
3.75,46.388557434082,"Europe_1"
7.5,46.388557434082,"Europe_1"
11.25,46.388557434082,"Europe_1"
15,46.388557434082,"Europe_1"
18.75,46.388557434082,"Europe_1"
22.5,46.388557434082,"Europe_1"
26.25,46.388557434082,"Europe_1"
33.75,46.388557434082,"Europe_1"
-3.75,46.388557434082,"Europe_1"
0,42.677604675293,"Europe_2"
3.75,42.677604675293,"Europe_2"
7.5,42.677604675293,"Europe_1"
11.25,42.677604675293,"Europe_1"
15,42.677604675293,"Europe_1"
18.75,42.677604675293,"Europe_1"
22.5,42.677604675293,"Europe_2"
26.25,42.677604675293,"Europe_2"
30,42.677604675293,"Europe_2"
37.5,42.677604675293,"Europe_2"
41.25,42.677604675293,"Europe_1"
-11.25,42.677604675293,"Europe_1"
-7.5,42.677604675293,"Europe_1"
-3.75,42.677604675293,"Europe_1"
0,38.966609954834,"Europe_2"
3.75,38.966609954834,"Europe_1"
11.25,38.966609954834,"Europe_1"
15,38.966609954834,"Europe_1"
18.75,38.966609954834,"Europe_1"
22.5,38.966609954834,"Europe_2"
26.25,38.966609954834,"Europe_2"
30,38.966609954834,"Europe_2"
33.75,38.966609954834,"Europe_2"
37.5,38.966609954834,"Europe_1"
-11.25,38.966609954834,"Europe_1"
-7.5,38.966609954834,"Europe_2"
-3.75,38.966609954834,"Europe_2"
11.25,35.2555809020996,"Europe_2"
15,35.2555809020996,"Europe_2"
22.5,35.2555809020996,"Europe_2"
30,35.2555809020996,"Europe_2"
33.75,35.2555809020996,"Europe_2"
37.5,35.2555809020996,"Europe_2"
41.25,35.2555809020996,"Europe_2"
-3.75,35.2555809020996,"Europe_2"
33.75,31.5445232391357,"Europe_2"
37.5,31.5445232391357,"Europe_2"
-123.75,72.3615798950195,"North America_1"
-120,72.3615798950195,"North America_1"
-97.5,72.3615798950195,"North America_1"
-93.75,72.3615798950195,"North America_1"
-161.25,68.6520156860352,"North America_1"
-157.5,68.6520156860352,"North America_1"
-153.75,68.6520156860352,"North America_1"
-150,68.6520156860352,"North America_1"
-146.25,68.6520156860352,"North America_1"
-142.5,68.6520156860352,"North America_1"
-138.75,68.6520156860352,"North America_2"
-135,68.6520156860352,"North America_2"
-131.25,68.6520156860352,"North America_2"
-120,68.6520156860352,"North America_2"
-116.25,68.6520156860352,"North America_2"
-67.5,68.6520156860352,"North America_1"
-63.75,68.6520156860352,"North America_1"
-172.5,64.9419479370117,"North America_1"
-161.25,64.9419479370117,"North America_1"
-157.5,64.9419479370117,"North America_1"
-150,64.9419479370117,"North America_1"
-146.25,64.9419479370117,"North America_1"
-142.5,64.9419479370117,"North America_1"
-138.75,64.9419479370117,"North America_1"
-135,64.9419479370117,"North America_1"
-127.5,64.9419479370117,"North America_2"
-112.5,64.9419479370117,"North America_2"
-108.75,64.9419479370117,"North America_2"
-105,64.9419479370117,"North America_2"
-67.5,64.9419479370117,"North America_1"
-63.75,64.9419479370117,"North America_1"
-60,64.9419479370117,"North America_1"
-161.25,61.231575012207,"North America_2"
-157.5,61.231575012207,"North America_2"
-153.75,61.231575012207,"North America_2"
-150,61.231575012207,"North America_1"
-146.25,61.231575012207,"North America_1"
-142.5,61.231575012207,"North America_1"
-138.75,61.231575012207,"North America_1"
-135,61.231575012207,"North America_1"
-127.5,61.231575012207,"North America_1"
-123.75,61.231575012207,"North America_2"
-120,61.231575012207,"North America_2"
-112.5,61.231575012207,"North America_2"
-101.25,61.231575012207,"North America_2"
-97.5,61.231575012207,"North America_2"
-71.25,61.231575012207,"North America_1"
-67.5,61.231575012207,"North America_1"
-168.75,57.5209922790527,"North America_2"
-157.5,57.5209922790527,"North America_2"
-135,57.5209922790527,"North America_1"
-131.25,57.5209922790527,"North America_1"
-123.75,57.5209922790527,"North America_2"
-120,57.5209922790527,"North America_2"
-112.5,57.5209922790527,"North America_2"
-101.25,57.5209922790527,"North America_2"
-93.75,57.5209922790527,"North America_2"
-75,57.5209922790527,"North America_2"
-71.25,57.5209922790527,"North America_2"
-63.75,57.5209922790527,"North America_1"
-131.25,53.8102722167969,"North America_1"
-120,53.8102722167969,"North America_2"
-116.25,53.8102722167969,"North America_2"
-112.5,53.8102722167969,"North America_2"
-105,53.8102722167969,"North America_2"
-101.25,53.8102722167969,"North America_2"
-97.5,53.8102722167969,"North America_2"
-90,53.8102722167969,"North America_2"
-86.25,53.8102722167969,"North America_2"
-82.5,53.8102722167969,"North America_2"
-75,53.8102722167969,"North America_2"
-71.25,53.8102722167969,"North America_2"
-67.5,53.8102722167969,"North America_2"
-63.75,53.8102722167969,"North America_2"
-60,53.8102722167969,"North America_2"
-56.25,53.8102722167969,"North America_2"
-127.5,50.0994529724121,"North America_2"
-123.75,50.0994529724121,"North America_2"
-120,50.0994529724121,"North America_2"
-116.25,50.0994529724121,"North America_2"
-112.5,50.0994529724121,"North America_2"
-108.75,50.0994529724121,"North America_2"
-105,50.0994529724121,"North America_3"
-101.25,50.0994529724121,"North America_2"
-97.5,50.0994529724121,"North America_2"
-93.75,50.0994529724121,"North America_2"
-90,50.0994529724121,"North America_2"
-86.25,50.0994529724121,"North America_2"
-82.5,50.0994529724121,"North America_2"
-78.75,50.0994529724121,"North America_2"
-75,50.0994529724121,"North America_2"
-71.25,50.0994529724121,"North America_2"
-67.5,50.0994529724121,"North America_2"
-60,50.0994529724121,"North America_2"
-56.25,50.0994529724121,"North America_2"
-123.75,46.388557434082,"North America_2"
-120,46.388557434082,"North America_3"
-116.25,46.388557434082,"North America_3"
-112.5,46.388557434082,"North America_3"
-108.75,46.388557434082,"North America_3"
-101.25,46.388557434082,"North America_3"
-97.5,46.388557434082,"North America_3"
-93.75,46.388557434082,"North America_2"
-90,46.388557434082,"North America_2"
-86.25,46.388557434082,"North America_2"
-82.5,46.388557434082,"North America_2"
-78.75,46.388557434082,"North America_2"
-75,46.388557434082,"North America_2"
-71.25,46.388557434082,"North America_2"
-67.5,46.388557434082,"North America_2"
-63.75,46.388557434082,"North America_2"
-60,46.388557434082,"North America_2"
-56.25,46.388557434082,"North America_2"
-52.5,46.388557434082,"North America_2"
-127.5,42.677604675293,"North America_2"
-123.75,42.677604675293,"North America_2"
-120,42.677604675293,"North America_3"
-116.25,42.677604675293,"North America_3"
-112.5,42.677604675293,"North America_3"
-108.75,42.677604675293,"North America_3"
-105,42.677604675293,"North America_2"
-101.25,42.677604675293,"North America_2"
-93.75,42.677604675293,"North America_3"
-90,42.677604675293,"North America_2"
-86.25,42.677604675293,"North America_2"
-82.5,42.677604675293,"North America_2"
-78.75,42.677604675293,"North America_2"
-75,42.677604675293,"North America_2"
-71.25,42.677604675293,"North America_2"
-67.5,42.677604675293,"North America_2"
-63.75,42.677604675293,"North America_2"
-123.75,38.966609954834,"North America_2"
-120,38.966609954834,"North America_3"
-116.25,38.966609954834,"North America_3"
-112.5,38.966609954834,"North America_3"
-108.75,38.966609954834,"North America_3"
-105,38.966609954834,"North America_3"
-93.75,38.966609954834,"North America_2"
-90,38.966609954834,"North America_2"
-86.25,38.966609954834,"North America_2"
-82.5,38.966609954834,"North America_2"
-78.75,38.966609954834,"North America_2"
-75,38.966609954834,"North America_2"
-120,35.2555809020996,"North America_3"
-116.25,35.2555809020996,"North America_3"
-112.5,35.2555809020996,"North America_3"
-108.75,35.2555809020996,"North America_3"
-105,35.2555809020996,"North America_3"
-97.5,35.2555809020996,"North America_2"
-93.75,35.2555809020996,"North America_2"
-90,35.2555809020996,"North America_2"
-86.25,35.2555809020996,"North America_2"
-82.5,35.2555809020996,"North America_2"
-78.75,35.2555809020996,"North America_2"
-75,35.2555809020996,"North America_2"
-116.25,31.5445232391357,"North America_3"
-108.75,31.5445232391357,"North America_3"
-105,31.5445232391357,"North America_3"
-101.25,31.5445232391357,"North America_2"
-97.5,31.5445232391357,"North America_2"
-93.75,31.5445232391357,"North America_3"
-90,31.5445232391357,"North America_3"
-86.25,31.5445232391357,"North America_3"
-82.5,31.5445232391357,"North America_3"
-78.75,31.5445232391357,"North America_3"
-97.5,27.8334445953369,"North America_3"
-82.5,27.8334445953369,"North America_3"
-78.75,27.8334445953369,"North America_2"
-82.5,24.1223487854004,"North America_3"
-78.75,24.1223487854004,"North America_3"
-101.25,20.4112377166748,"North America_3"
-97.5,20.4112377166748,"North America_3"
-90,20.4112377166748,"North America_2"
-86.25,20.4112377166748,"North America_3"
-78.75,20.4112377166748,"North America_3"
-71.25,20.4112377166748,"North America_3"
-93.75,16.7001171112061,"North America_2"
-90,16.7001171112061,"North America_3"
-90,12.9889888763428,"North America_2"
7.5,38.966609954834,"Europe_2"
7.5,35.2555809020996,"Africa_1"
30,31.5445232391357,"Africa_1"
-3.75,31.5445232391357,"Africa_1"
30,27.8334445953369,"Africa_1"
-15,27.8334445953369,"Africa_1"
18.75,20.4112377166748,"Africa_1"
26.25,20.4112377166748,"Africa_1"
30,20.4112377166748,"Africa_1"
60,20.4112377166748,"Africa_2"
3.75,16.7001171112061,"Africa_1"
48.75,16.7001171112061,"Africa_2"
-18.75,16.7001171112061,"Africa_2"
-15,16.7001171112061,"Africa_1"
0,12.9889888763428,"Africa_2"
11.25,12.9889888763428,"Africa_2"
15,12.9889888763428,"Africa_2"
11.25,9.27785301208496,"Africa_2"
37.5,9.27785301208496,"Africa_2"
48.75,9.27785301208496,"Africa_2"
7.5,5.56671380996704,"Africa_2"
11.25,5.56671380996704,"Africa_2"
15,5.56671380996704,"Africa_2"
37.5,5.56671380996704,"Africa_2"
41.25,5.56671380996704,"Africa_2"
-3.75,5.56671380996704,"Africa_1"
3.75,1.85557150840759,"Africa_2"
30,1.85557150840759,"Africa_2"
33.75,1.85557150840759,"Africa_2"
37.5,1.85557150840759,"Africa_2"
15,-1.85557150840759,"Africa_2"
30,-1.85557150840759,"Africa_2"
33.75,-1.85557150840759,"Africa_2"
37.5,-1.85557150840759,"Africa_2"
11.25,-5.56671380996704,"Africa_2"
15,-5.56671380996704,"Africa_2"
30,-5.56671380996704,"Africa_2"
37.5,-5.56671380996704,"Africa_2"
30,-9.27785301208496,"Africa_2"
33.75,-9.27785301208496,"Africa_2"
15,-12.9889888763428,"Africa_2"
33.75,-12.9889888763428,"Africa_2"
11.25,-16.7001171112061,"Africa_2"
45,-16.7001171112061,"Africa_2"
18.75,-20.4112377166748,"Africa_2"
45,-20.4112377166748,"Africa_2"
48.75,-20.4112377166748,"Africa_2"
15,-24.1223487854004,"Africa_2"
18.75,-24.1223487854004,"Africa_2"
26.25,-24.1223487854004,"Africa_2"
30,-24.1223487854004,"Africa_2"
45,-24.1223487854004,"Africa_2"
22.5,-27.8334445953369,"Africa_2"
26.25,-27.8334445953369,"Africa_2"
30,-27.8334445953369,"Africa_2"
33.75,-27.8334445953369,"Africa_2"
18.75,-31.5445232391357,"Africa_2"
26.25,-31.5445232391357,"Africa_2"
18.75,-35.2555809020996,"Africa_2"
22.5,-35.2555809020996,"Africa_2"
112.5,5.56671380996704,"Indopacific_1"
138.75,-1.85557150840759,"Indopacific_1"
150,-1.85557150840759,"Indopacific_1"
108.75,-5.56671380996704,"Indopacific_1"
138.75,-5.56671380996704,"Indopacific_1"
142.5,-5.56671380996704,"Indopacific_1"
146.25,-5.56671380996704,"Indopacific_1"
142.5,-9.27785301208496,"Indopacific_1"
138.75,-12.9889888763428,"Indopacific_1"
146.25,-12.9889888763428,"Indopacific_2"
127.5,-16.7001171112061,"Indopacific_1"
146.25,-16.7001171112061,"Indopacific_2"
153.75,-27.8334445953369,"Indopacific_2"
127.5,-31.5445232391357,"Indopacific_1"
138.75,-31.5445232391357,"Indopacific_1"
150,-31.5445232391357,"Indopacific_2"
142.5,-35.2555809020996,"Indopacific_2"
150,-35.2555809020996,"Indopacific_1"
176.25,-35.2555809020996,"Indopacific_1"
142.5,-38.966609954834,"Indopacific_2"
146.25,-38.966609954834,"Indopacific_2"
150,-38.966609954834,"Indopacific_2"
146.25,-42.677604675293,"Indopacific_2"
172.5,-42.677604675293,"Indopacific_1"
168.75,-46.388557434082,"Indopacific_1"
-82.5,9.27785301208496,"South America_1"
-75,9.27785301208496,"South America_1"
-71.25,9.27785301208496,"South America_1"
-67.5,9.27785301208496,"South America_1"
-63.75,9.27785301208496,"South America_1"
-75,5.56671380996704,"South America_2"
-71.25,5.56671380996704,"South America_2"
-60,5.56671380996704,"South America_1"
-78.75,1.85557150840759,"South America_2"
-75,1.85557150840759,"South America_2"
-67.5,1.85557150840759,"South America_1"
-82.5,-1.85557150840759,"South America_1"
-78.75,-1.85557150840759,"South America_2"
-71.25,-1.85557150840759,"South America_1"
-63.75,-1.85557150840759,"South America_2"
-56.25,-1.85557150840759,"South America_2"
-48.75,-1.85557150840759,"South America_2"
-45,-1.85557150840759,"South America_2"
-41.25,-1.85557150840759,"South America_2"
-37.5,-1.85557150840759,"South America_2"
-82.5,-5.56671380996704,"South America_1"
-78.75,-5.56671380996704,"South America_1"
-75,-5.56671380996704,"South America_2"
-37.5,-5.56671380996704,"South America_2"
-78.75,-9.27785301208496,"South America_1"
-75,-9.27785301208496,"South America_2"
-75,-12.9889888763428,"South America_2"
-71.25,-12.9889888763428,"South America_1"
-67.5,-12.9889888763428,"South America_1"
-63.75,-12.9889888763428,"South America_2"
-60,-12.9889888763428,"South America_2"
-71.25,-16.7001171112061,"South America_2"
-67.5,-16.7001171112061,"South America_2"
-63.75,-16.7001171112061,"South America_2"
-56.25,-16.7001171112061,"South America_2"
-45,-16.7001171112061,"South America_2"
-41.25,-16.7001171112061,"South America_2"
-67.5,-20.4112377166748,"South America_2"
-45,-20.4112377166748,"South America_2"
-41.25,-20.4112377166748,"South America_2"
-67.5,-24.1223487854004,"South America_2"
-48.75,-24.1223487854004,"South America_2"
-45,-24.1223487854004,"South America_2"
-48.75,-27.8334445953369,"South America_2"
-45,-27.8334445953369,"South America_2"
-67.5,-31.5445232391357,"South America_2"
-71.25,-35.2555809020996,"South America_1"
-71.25,-38.966609954834,"South America_1"
-75,-42.677604675293,"South America_1"
-71.25,-42.677604675293,"South America_1"
-71.25,-46.388557434082,"South America_1"
-75,-50.0994529724121,"South America_1"
-71.25,-50.0994529724121,"South America_1"
-56.25,-50.0994529724121,"South America_2"
-71.25,-53.8102722167969,"South America_1"
-67.5,-53.8102722167969,"South America_1"
-60,-61.231575012207,"South America_2"
